Referee,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed
K Friend,3.0,6.0,0.0,0.0,0.0,0.0
M Clattenburg,9.0,13.0,1.0,0.0,0.0,0.0
M Atkinson,6.0,8.0,0.0,3.0,0.0,0.0
A Taylor,9.0,13.0,3.0,4.0,0.0,0.0
M Oliver,12.0,16.0,1.0,3.0,0.0,0.0
M Clattenburg,10.0,14.0,1.0,2.0,0.0,0.0
J Moss,11.0,12.0,2.0,2.0,0.0,0.0
A Marriner,10.0,11.0,0.0,1.0,0.0,0.0
M Oliver,12.0,10.0,0.0,2.0,0.0,0.0
M Dean,13.0,15.0,3.0,3.0,0.0,0.0
M Clattenburg,10.0,8.0,0.0,1.0,0.0,0.0
M Atkinson,12.0,10.0,2.0,2.0,0.0,0.0
C Pawson,8.0,15.0,1.0,3.0,0.0,0.0
J Moss,9.0,8.0,1.0,1.0,0.0,0.0
M Clattenburg,14.0,13.0,2.0,1.0,0.0,0.0
K Friend,13.0,10.0,3.0,2.0,0.0,0.0
A Taylor,12.0,10.0,0.0,3.0,0.0,0.0
M Dean,8.0,11.0,1.0,4.0,1.0,0.0
M Atkinson,9.0,12.0,1.0,0.0,0.0,0.0
M Oliver,11.0,18.0,2.0,3.0,0.0,1.0
A Marriner,9.0,12.0,0.0,2.0,0.0,1.0
J Moss,11.0,10.0,1.0,2.0,0.0,0.0
L Mason,9.0,14.0,2.0,2.0,0.0,1.0
K Friend,11.0,17.0,1.0,2.0,0.0,0.0
C Pawson,13.0,13.0,1.0,1.0,0.0,0.0
M Atkinson,7.0,13.0,1.0,3.0,0.0,0.0
M Clattenburg,13.0,12.0,1.0,4.0,1.0,0.0
M Dean,18.0,11.0,5.0,3.0,0.0,0.0
A Marriner,14.0,8.0,0.0,1.0,0.0,1.0
M Oliver,9.0,6.0,0.0,0.0,0.0,0.0
J Moss,8.0,15.0,0.0,3.0,0.0,1.0
L Mason,8.0,8.0,2.0,1.0,0.0,0.0
M Clattenburg,16.0,10.0,5.0,1.0,0.0,0.0
A Taylor,9.0,9.0,1.0,2.0,0.0,0.0
M Oliver,12.0,8.0,2.0,2.0,0.0,0.0
L Mason,8.0,10.0,0.0,1.0,0.0,0.0
K Friend,5.0,15.0,0.0,2.0,0.0,0.0
M Dean,12.0,9.0,0.0,1.0,0.0,1.0
M Dean,8.0,11.0,1.0,4.0,0.0,0.0
L Mason,10.0,4.0,4.0,1.0,0.0,0.0
M Atkinson,10.0,16.0,2.0,4.0,0.0,0.0
A Marriner,5.0,6.0,0.0,1.0,0.0,0.0
J Moss,15.0,9.0,1.0,2.0,0.0,0.0
M Oliver,12.0,13.0,1.0,1.0,0.0,0.0
A Taylor,7.0,4.0,1.0,2.0,0.0,0.0
M Oliver,10.0,13.0,3.0,2.0,0.0,0.0
K Friend,16.0,6.0,1.0,0.0,0.0,0.0
M Clattenburg,10.0,11.0,1.0,0.0,0.0,0.0
M Atkinson,6.0,5.0,1.0,2.0,0.0,0.0
A Taylor,10.0,9.0,4.0,0.0,0.0,0.0
L Mason,12.0,8.0,0.0,2.0,0.0,0.0
M Dean,10.0,12.0,1.0,3.0,0.0,0.0
J Moss,9.0,7.0,0.0,0.0,0.0,0.0
M Clattenburg,7.0,9.0,1.0,3.0,1.0,0.0
K Friend,14.0,12.0,2.0,2.0,0.0,0.0
A Marriner,6.0,10.0,1.0,2.0,0.0,0.0
M Atkinson,14.0,10.0,1.0,2.0,0.0,0.0
L Mason,11.0,11.0,0.0,2.0,0.0,0.0
M Dean,11.0,14.0,1.0,2.0,0.0,0.0
M Atkinson,7.0,16.0,1.0,1.0,0.0,0.0
M Clattenburg,9.0,8.0,2.0,2.0,0.0,0.0
J Moss,10.0,7.0,1.0,1.0,0.0,0.0
A Marriner,16.0,10.0,3.0,2.0,0.0,0.0
L Mason,8.0,7.0,1.0,3.0,0.0,0.0
M Oliver,13.0,12.0,0.0,2.0,0.0,0.0
A Marriner,11.0,6.0,1.0,2.0,1.0,0.0
M Clattenburg,9.0,12.0,1.0,3.0,0.0,0.0
M Dean,14.0,8.0,0.0,1.0,0.0,0.0
M Atkinson,9.0,7.0,0.0,4.0,0.0,0.0
M Dean,14.0,9.0,0.0,0.0,0.0,0.0
M Atkinson,9.0,6.0,1.0,0.0,0.0,0.0
A Taylor,11.0,5.0,1.0,1.0,0.0,0.0
M Clattenburg,7.0,12.0,2.0,3.0,0.0,0.0
C Pawson,13.0,9.0,1.0,1.0,0.0,0.0
M Oliver,8.0,9.0,1.0,2.0,0.0,0.0
L Mason,14.0,12.0,0.0,0.0,0.0,0.0
M Oliver,7.0,9.0,1.0,2.0,0.0,0.0
K Friend,11.0,15.0,3.0,1.0,0.0,0.0
M Atkinson,7.0,9.0,2.0,2.0,0.0,0.0
L Mason,6.0,5.0,1.0,0.0,0.0,0.0
M Dean,16.0,5.0,3.0,2.0,0.0,0.0
J Moss,11.0,11.0,1.0,0.0,0.0,0.0
J Moss,13.0,19.0,2.0,2.0,0.0,1.0
M Dean,14.0,20.0,2.0,4.0,0.0,0.0
C Pawson,10.0,10.0,1.0,2.0,0.0,0.0
A Taylor,14.0,9.0,0.0,3.0,0.0,0.0
M Clattenburg,8.0,11.0,1.0,2.0,0.0,0.0
M Atkinson,8.0,11.0,1.0,5.0,0.0,0.0
M Oliver,6.0,7.0,1.0,1.0,0.0,0.0
M Dean,11.0,8.0,4.0,0.0,0.0,1.0
L Mason,11.0,11.0,0.0,1.0,0.0,0.0
M Clattenburg,14.0,11.0,1.0,3.0,0.0,0.0
K Friend,10.0,18.0,1.0,4.0,0.0,0.0
C Pawson,14.0,13.0,2.0,1.0,0.0,0.0
J Moss,10.0,10.0,1.0,3.0,1.0,0.0
M Atkinson,10.0,15.0,0.0,2.0,0.0,0.0
A Taylor,12.0,6.0,0.0,1.0,0.0,0.0
M Oliver,13.0,7.0,1.0,1.0,0.0,0.0
J Moss,7.0,16.0,1.0,3.0,0.0,0.0
L Mason,14.0,5.0,2.0,1.0,0.0,0.0
M Dean,11.0,13.0,2.0,1.0,0.0,0.0
M Clattenburg,9.0,10.0,1.0,4.0,0.0,0.0
A Taylor,14.0,6.0,3.0,1.0,0.0,0.0
M Clattenburg,11.0,15.0,3.0,4.0,0.0,0.0
K Friend,12.0,11.0,0.0,3.0,0.0,0.0
M Dean,12.0,10.0,2.0,3.0,0.0,0.0
L Mason,9.0,10.0,2.0,1.0,0.0,0.0
M Oliver,8.0,15.0,3.0,0.0,0.0,0.0
C Pawson,10.0,13.0,5.0,1.0,0.0,0.0
A Taylor,12.0,8.0,2.0,3.0,0.0,0.0
M Atkinson,12.0,7.0,3.0,1.0,0.0,0.0
A Taylor,14.0,14.0,1.0,2.0,0.0,0.0
M Atkinson,6.0,15.0,2.0,4.0,0.0,0.0
J Moss,11.0,15.0,0.0,4.0,1.0,0.0
C Pawson,16.0,11.0,4.0,1.0,0.0,0.0
M Oliver,8.0,13.0,2.0,2.0,0.0,0.0
M Clattenburg,11.0,9.0,1.0,1.0,0.0,1.0
M Dean,16.0,12.0,3.0,4.0,1.0,0.0
K Friend,12.0,7.0,2.0,2.0,0.0,0.0
M Oliver,7.0,16.0,3.0,6.0,0.0,0.0
A Taylor,10.0,6.0,0.0,2.0,0.0,0.0
M Atkinson,8.0,9.0,2.0,1.0,0.0,0.0
L Mason,10.0,12.0,1.0,3.0,1.0,0.0
M Clattenburg,12.0,11.0,2.0,1.0,0.0,0.0
J Moss,7.0,9.0,1.0,2.0,0.0,0.0
C Pawson,20.0,15.0,1.0,2.0,0.0,0.0
M Dean,6.0,14.0,1.0,2.0,0.0,0.0
M Oliver,12.0,15.0,2.0,2.0,0.0,0.0
L Mason,11.0,15.0,1.0,3.0,0.0,0.0
M Atkinson,14.0,10.0,4.0,3.0,0.0,0.0
K Friend,18.0,11.0,4.0,3.0,0.0,0.0
A Taylor,10.0,11.0,2.0,2.0,0.0,0.0
K Friend,3.0,10.0,0.0,1.0,0.0,0.0
C Pawson,13.0,7.0,1.0,1.0,1.0,1.0
A Taylor,11.0,16.0,2.0,2.0,0.0,0.0
J Moss,11.0,9.0,1.0,2.0,0.0,1.0
M Atkinson,13.0,15.0,0.0,3.0,0.0,0.0
A Marriner,11.0,8.0,1.0,3.0,0.0,0.0
M Oliver,17.0,7.0,4.0,1.0,0.0,0.0
M Dean,6.0,8.0,1.0,2.0,0.0,0.0
J Moss,10.0,12.0,0.0,2.0,0.0,0.0
K Friend,11.0,9.0,3.0,3.0,0.0,0.0
M Clattenburg,14.0,8.0,3.0,1.0,0.0,0.0
M Atkinson,12.0,14.0,2.0,1.0,0.0,0.0
A Marriner,12.0,7.0,4.0,2.0,0.0,0.0
A Taylor,9.0,12.0,2.0,4.0,0.0,0.0
L Mason,11.0,14.0,0.0,2.0,0.0,0.0
C Pawson,5.0,9.0,0.0,1.0,0.0,0.0
K Friend,10.0,15.0,2.0,3.0,0.0,1.0
M Atkinson,6.0,9.0,1.0,0.0,0.0,0.0
A Marriner,13.0,8.0,4.0,3.0,0.0,0.0
