,home_team,away_team,home_score,away_score,home_strength,away_strength,t-3 home_attacking,t-3 home_defending,t-3 home_oppstrength,t-3 home_home,t-3 away_attacking,t-3 away_defending,t-3 away_oppstrength,t-3 away_home,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1243,Liverpool,Manchester United,0,0,0.3333333333333333,3.0,1,1,0.0,1,4,0,-1.6666666666666667,1,3,2,-1.3333333333333333,-1,1,0,0.6666666666666666,-1,1,1,1.6666666666666667,-1,4,0,-2.3333333333333335,1
1255,Manchester United,Tottenham Hotspur,1,0,1.6666666666666667,1.3333333333333333,1,0,0.6666666666666666,-1,0,0,-1.0,1,4,0,-2.3333333333333335,1,3,2,0.0,-1,0,0,0.0,-1,4,1,0.0,1
1263,Chelsea,Manchester United,1,0,0.6666666666666666,1.6666666666666667,4,0,-0.3333333333333333,-1,4,0,-2.3333333333333335,1,0,1,3.3333333333333335,1,0,0,0.0,-1,1,2,-3.3333333333333335,-1,1,0,1.3333333333333333,1
1271,Manchester United,Newcastle United,4,1,0.0,0.0,0,0,0.0,-1,2,2,-0.3333333333333333,-1,1,0,1.3333333333333333,1,1,0,0.0,1,0,1,0.0,-1,0,1,0.0,-1
1288,Arsenal,Manchester United,1,3,0.3333333333333333,1.0,1,3,3.0,-1,1,0,1.3333333333333333,1,2,0,0.0,1,0,1,0.0,-1,1,0,0.0,-1,4,1,0.0,1
1295,Manchester United,Manchester City,1,2,1.3333333333333333,1.3333333333333333,0,1,0.0,-1,2,0,0.0,-1,4,1,0.0,1,2,1,0.0,1,3,1,0.3333333333333333,-1,2,1,0.0,1
1308,West Bromwich Albion,Manchester United,1,2,-0.3333333333333333,1.3333333333333333,0,0,0.0,1,4,1,0.0,1,0,1,0.0,-1,3,1,0.3333333333333333,-1,0,0,0.0,-1,1,2,1.3333333333333333,1
1314,Leicester City,Manchester United,2,2,0.3333333333333333,0.6666666666666666,3,2,-1.6666666666666667,-1,3,1,0.3333333333333333,-1,4,1,0.6666666666666666,-1,1,2,1.3333333333333333,1,0,3,0.3333333333333333,1,2,1,-0.3333333333333333,-1
1317,Manchester United,Burnley,2,2,0.0,-1.0,1,2,1.3333333333333333,1,0,1,-0.3333333333333333,-1,2,1,-0.3333333333333333,-1,1,0,-2.0,1,2,2,0.3333333333333333,-1,0,3,0.0,1
1323,Manchester United,Southampton,0,0,0.3333333333333333,-2.3333333333333335,2,1,-0.3333333333333333,-1,1,4,0.0,1,2,2,0.3333333333333333,-1,0,1,0.0,-1,2,2,0.0,1,2,5,1.3333333333333333,-1
1330,Everton,Manchester United,0,2,0.6666666666666666,0.0,3,1,-1.3333333333333333,1,2,2,0.3333333333333333,-1,0,0,0.0,1,2,2,0.0,1,0,0,-1.0,-1,0,0,-2.3333333333333335,1
1341,Manchester United,Stoke City,3,0,0.6666666666666666,-1.3333333333333333,2,2,0.0,1,3,1,-0.6666666666666666,1,0,0,-2.3333333333333335,1,0,5,0.0,-1,2,0,0.6666666666666666,-1,0,1,-0.3333333333333333,1
1342,Burnley,Manchester United,0,1,-0.6666666666666666,1.6666666666666667,2,2,0.0,-1,0,0,-2.3333333333333335,1,1,2,2.0,1,2,0,0.6666666666666666,-1,0,1,0.0,-1,3,0,-1.3333333333333333,1
1353,Tottenham Hotspur,Manchester United,2,0,1.3333333333333333,2.0,1,1,0.0,1,2,0,0.6666666666666666,-1,4,0,0.0,1,3,0,-1.3333333333333333,1,1,1,0.0,-1,1,0,0.0,-1
1364,Newcastle United,Manchester United,1,0,-0.6666666666666666,0.6666666666666666,1,3,0.0,-1,3,0,-1.3333333333333333,1,1,1,0.0,1,1,0,0.0,-1,1,1,0.0,-1,0,2,1.3333333333333333,-1
1370,Manchester United,Chelsea,2,1,-0.6666666666666666,1.0,1,0,0.0,-1,2,2,0.3333333333333333,-1,0,2,1.3333333333333333,-1,0,0,-1.3333333333333333,1,0,1,-0.6666666666666666,-1,3,0,-1.3333333333333333,1
1378,Crystal Palace,Manchester United,2,3,-1.0,-0.6666666666666666,1,1,-0.6666666666666666,1,0,2,1.3333333333333333,-1,1,3,0.0,-1,0,1,-0.6666666666666666,-1,0,1,1.0,1,2,1,0.0,1
1379,Manchester United,Liverpool,2,1,0.3333333333333333,2.3333333333333335,0,1,-0.6666666666666666,-1,2,0,0.0,-1,2,1,0.0,1,4,1,0.3333333333333333,1,3,2,-1.0,-1,2,0,0.3333333333333333,1
1390,Manchester United,Swansea City,2,0,1.0,1.3333333333333333,2,1,0.0,1,1,1,0.0,-1,3,2,-1.0,-1,1,0,0.0,1,2,1,0.0,1,4,1,0.0,1
1393,Manchester City,Manchester United,2,3,1.6666666666666667,1.3333333333333333,1,0,0.0,1,3,2,-1.0,-1,2,0,0.0,-1,2,1,0.0,1,3,1,0.0,-1,2,0,1.3333333333333333,1
1405,Manchester United,West Bromwich Albion,0,1,1.3333333333333333,-1.3333333333333333,2,1,0.0,1,1,4,0.0,1,2,0,1.3333333333333333,1,1,2,0.0,1,3,2,1.6666666666666667,-1,1,1,0.0,1
1419,Manchester United,Arsenal,2,1,0.6666666666666666,1.0,2,0,1.3333333333333333,1,3,2,0.0,1,3,2,1.6666666666666667,-1,1,2,0.0,-1,0,1,-1.3333333333333333,1,4,1,0.0,1
1429,West Ham United,Manchester United,0,0,-1.3333333333333333,0.3333333333333333,1,4,1.0,-1,3,2,1.6666666666666667,-1,1,4,2.0,1,0,1,-1.3333333333333333,1,2,0,0.0,-1,2,1,1.0,1
1436,Manchester United,Leicester City,2,1,0.0,-0.3333333333333333,0,1,-1.3333333333333333,1,0,2,-2.0,1,2,1,1.0,1,3,1,2.3333333333333335,1,0,0,-1.3333333333333333,-1,4,5,-0.6666666666666666,-1
1443,Manchester United,Tottenham Hotspur,0,3,0.6666666666666666,1.0,2,1,1.0,1,1,0,0.0,1,0,0,-1.3333333333333333,-1,5,4,0.0,1,2,1,-0.3333333333333333,1,2,1,0.0,-1
1445,Burnley,Manchester United,0,2,-2.0,-0.6666666666666666,1,2,-0.3333333333333333,1,0,0,-1.3333333333333333,-1,1,1,-1.3333333333333333,-1,2,1,-0.3333333333333333,1,0,5,0.3333333333333333,-1,0,3,1.0,1
1453,West Ham United,Manchester United,3,1,0.0,0.0,1,3,0.6666666666666666,-1,2,1,-0.3333333333333333,1,3,1,0.0,-1,0,3,1.0,1,0,0,0.0,1,2,0,0.0,-1
1456,Manchester United,Newcastle United,3,2,-1.0,-1.0,0,3,1.0,1,1,2,-0.3333333333333333,1,2,0,0.0,-1,0,0,0.0,-1,1,3,0.0,-1,0,2,0.0,1
1458,Chelsea,Manchester United,2,2,0.3333333333333333,0.3333333333333333,2,1,0.3333333333333333,-1,2,0,0.0,-1,0,0,-1.3333333333333333,-1,1,3,0.0,-1,1,1,1.3333333333333333,1,3,2,-1.0,1
1464,Manchester United,Everton,2,1,-0.3333333333333333,0.3333333333333333,1,3,0.0,-1,0,2,0.6666666666666666,-1,3,2,-1.0,1,2,1,0.0,-1,2,2,0.0,-1,2,0,0.0,1
1471,Manchester United,Crystal Palace,0,0,0.6666666666666666,-1.0,3,2,-1.0,1,2,2,1.6666666666666667,1,2,2,0.0,-1,1,3,0.0,-1,2,1,0.3333333333333333,1,0,1,1.0,1
1480,Manchester United,Arsenal,2,2,0.3333333333333333,0.6666666666666666,2,2,0.0,-1,2,2,0.0,-1,2,1,0.3333333333333333,1,1,1,0.0,1,0,0,-1.0,1,4,2,0.0,1
1485,Liverpool,Manchester United,3,1,1.0,0.3333333333333333,1,1,1.3333333333333333,-1,2,1,0.3333333333333333,1,1,0,0.3333333333333333,1,0,0,-1.0,1,3,1,0.0,-1,2,2,0.6666666666666666,1
1495,Newcastle United,Manchester United,0,2,-2.3333333333333335,-0.6666666666666666,0,3,0.0,1,0,0,-1.0,1,1,1,0.0,-1,2,2,0.6666666666666666,1,0,4,0.0,-1,1,3,0.0,-1
1498,Tottenham Hotspur,Manchester United,0,1,2.3333333333333335,0.0,2,0,0.0,-1,2,2,0.6666666666666666,1,1,0,0.0,1,1,3,0.0,-1,6,2,0.0,-1,2,0,-2.3333333333333335,-1
1501,Manchester United,Burnley,2,2,0.3333333333333333,-1.3333333333333333,1,3,0.0,-1,1,3,0.6666666666666666,-1,2,0,-2.3333333333333335,-1,1,5,-1.6666666666666667,1,1,0,2.3333333333333335,-1,2,0,2.0,1
1504,Leicester City,Manchester United,0,1,0.6666666666666666,1.0,1,0,0.0,-1,2,0,-2.3333333333333335,-1,1,0,0.0,-1,1,0,2.3333333333333335,-1,1,1,0.0,-1,2,2,0.0,1
1510,Manchester United,Liverpool,0,0,0.6666666666666666,0.3333333333333333,1,0,2.3333333333333335,-1,4,3,-0.3333333333333333,1,2,2,0.0,1,1,1,0.3333333333333333,1,1,0,0.6666666666666666,-1,1,1,0.0,-1
1512,Crystal Palace,Manchester United,1,3,0.6666666666666666,0.3333333333333333,3,4,0.0,-1,2,2,0.0,1,1,1,-0.3333333333333333,1,1,0,0.6666666666666666,-1,4,1,0.0,-1,0,0,0.0,1
1519,Arsenal,Manchester United,2,0,0.3333333333333333,1.0,0,1,0.0,-1,1,0,0.6666666666666666,-1,2,0,0.0,1,0,0,0.0,1,1,1,0.0,-1,3,1,0.6666666666666666,-1
1531,Manchester United,West Ham United,2,1,0.0,-0.6666666666666666,0,0,0.0,1,2,0,0.0,1,3,1,0.6666666666666666,-1,0,2,0.0,1,0,2,0.3333333333333333,-1,0,2,0.0,-1
1534,Everton,Manchester United,4,0,1.6666666666666667,0.3333333333333333,2,0,0.0,1,3,1,0.6666666666666666,-1,2,0,0.6666666666666666,-1,0,2,0.3333333333333333,-1,1,0,1.3333333333333333,1,2,1,-0.6666666666666666,1
1539,Manchester United,Chelsea,1,1,-1.6666666666666667,0.0,0,2,0.3333333333333333,-1,2,0,0.0,1,2,1,-0.6666666666666666,1,0,2,1.0,-1,0,4,1.6666666666666667,-1,2,2,0.0,1
1549,Manchester United,Chelsea,4,0,-1.0,0.0,2,1,-0.6666666666666666,1,2,2,0.0,1,0,4,1.6666666666666667,-1,1,1,-1.6666666666666667,-1,1,1,0.0,1,0,0,0.6666666666666666,-1
1553,Manchester United,Crystal Palace,1,2,0.0,0.3333333333333333,0,4,1.6666666666666667,-1,3,2,1.0,-1,1,1,0.0,1,0,0,0.0,1,4,0,0.0,1,0,0,0.0,1
1560,Manchester United,Leicester City,1,0,1.0,1.0,1,1,0.0,1,3,0,0.0,1,4,0,0.0,1,0,0,0.0,1,1,2,0.3333333333333333,1,1,1,0.0,-1
1565,West Ham United,Manchester United,2,0,0.3333333333333333,1.3333333333333333,2,2,0.0,1,4,0,0.0,1,1,0,0.3333333333333333,-1,1,2,0.3333333333333333,1,0,0,0.0,-1,1,0,1.0,1
1569,Manchester United,Arsenal,1,1,-0.6666666666666666,-0.3333333333333333,1,2,0.3333333333333333,1,1,3,0.0,-1,1,0,1.0,1,2,2,0.0,1,0,2,0.3333333333333333,-1,3,2,0.0,1
1573,Newcastle United,Manchester United,1,0,-2.0,-0.3333333333333333,1,0,0.3333333333333333,-1,1,0,1.0,1,1,3,0.0,-1,0,2,0.3333333333333333,-1,0,5,0.0,-1,1,1,-0.3333333333333333,1
1577,Manchester United,Liverpool,1,1,-1.0,1.3333333333333333,0,2,0.3333333333333333,-1,3,1,-0.3333333333333333,1,1,1,-0.3333333333333333,1,2,1,0.0,-1,0,1,-2.0,-1,2,1,1.6666666666666667,1
1593,Manchester United,Aston Villa,2,2,-0.3333333333333333,0.3333333333333333,1,1,-0.3333333333333333,1,2,2,0.0,1,0,1,-2.0,-1,1,2,0.6666666666666666,1,1,1,0.0,1,2,0,0.3333333333333333,1
